housing_type,available_time,experience,has_children,has_other_pets,species,age,size,energy_level,good_with_children,good_with_pets,compatibility_score
2,0.14628258877675715,2,1,1,0,19.316488488832647,2,9.43505583788035,0,0,16.075927451347898
0,2.072422997688783,2,1,1,2,4.58412422325382,2,6.540330069815741,1,1,66.85001390224386
2,7.132358680833368,1,0,0,0,2.8729473014423923,1,5.327190712832991,0,1,56.34596900010278
2,3.8662017263383417,1,0,0,0,18.25763490445394,1,2.0353471792042743,1,0,81.42900277001057
0,6.624839469416082,1,0,1,1,13.379061549146074,2,8.33374774254387,1,0,15.429254334629933
0,3.4696265973455844,0,1,1,2,8.75972043123932,2,2.041990625927761,1,0,48.39424565026571
2,3.907551523296371,1,1,1,0,11.465191405285662,0,2.4825353152124996,1,0,71.8291883749201
1,1.5867887368968492,0,0,1,1,14.91227810352488,0,1.9185114287185523,1,1,62.1904156244658
2,2.5823101966616004,0,1,1,1,15.460637974114345,1,1.5814946056952195,1,0,57.81566935339182
2,6.054117575075873,1,1,0,1,18.397883616379293,1,9.53312495978803,1,1,78.7644722942254
2,4.331631113151664,1,1,1,1,8.536855777912454,1,6.020315961413084,0,1,44.99605069020126
2,7.743026829445951,0,1,0,1,5.868218200387901,0,6.378371320100939,0,0,17.659457936976963
0,8.525849549383427,2,0,0,1,12.793285335796838,0,9.543254656787836,1,1,75.19716877726397
2,5.416464182167599,2,0,0,0,8.314557985590607,0,2.3057505512556267,0,0,89.81930096467086
1,7.582672920560592,0,1,0,2,11.891969078979558,1,0.059175385976920625,0,0,100.0
0,3.0690451319457,1,1,1,2,8.399715969119004,2,5.988836495702912,1,0,35.864859419932046
1,4.149712154000782,0,1,0,1,3.0599157335634897,1,5.078448532241586,0,0,7.766310430582547
1,7.12777676216831,0,0,1,1,9.388535033179169,0,4.776503773982941,1,1,68.16718384643505
1,3.8621199281703067,1,0,0,2,13.818356438820656,1,0.6188021124619913,1,0,99.27570109451418
1,5.885049351589888,2,1,1,0,15.985676153352998,1,4.544348665747845,0,1,60.19984099271925
0,1.8537277908251149,0,1,1,1,9.866525535930936,1,2.8755956509069893,1,0,40.17994593969416
0,5.99771314970498,2,1,0,2,3.3047578042080183,1,2.745646772243131,1,1,99.19023059087563
1,8.615137072268936,2,1,1,2,8.293754192988631,0,2.223815801790928,0,1,85.16981935033935
1,8.686396398234256,1,0,0,1,15.725878576833965,1,3.3252835975457073,0,0,90.95272735066932
0,7.243444063295397,0,0,1,2,8.257185412341457,0,3.5313307514341243,1,0,65.81749414521092
0,7.457533790761261,0,0,0,0,13.930615872084447,1,3.087757763619975,0,1,100.0
0,5.579274451507007,2,0,0,2,10.144273633561795,0,9.78752715719509,1,1,74.33758842341123
2,5.846680901658248,2,0,1,1,4.824462502187934,2,9.327310855094872,0,1,94.04777701505532
2,1.33650581410518,1,0,1,1,15.923010160461486,0,5.745100995248622,0,0,28.075489402233245
2,4.438591884213011,2,1,0,2,1.6842690814137407,0,9.810548384103098,0,0,18.081477075515252
1,4.507762838863638,1,1,0,2,10.497805655103011,2,9.911980103191901,1,0,89.22406909042803
2,9.584978356677402,0,0,1,1,4.177820684868099,2,3.559397100173025,0,0,53.80847046059304
1,4.310868626232894,1,0,0,0,1.341312570827513,2,4.4518754573974455,1,1,74.43933743642957
1,5.493426449027576,2,0,0,2,10.058678741664977,2,9.590617769846656,1,1,75.2073403832187
2,5.332513992791025,0,1,0,0,9.991243118698472,2,6.0862619929868655,1,1,100.0
1,6.367617170443271,1,1,1,0,14.138018033514417,2,2.129290828372725,0,1,97.06259824455154
2,7.482328313318959,0,1,0,1,14.895013861038098,1,6.893806683365003,0,1,29.753481255015927
